component_id,lot_id,component_type,temperature,voltage,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,leakage_0h_uA,leakage_24h_uA,leakage_96h_uA,leakage_168h_uA,ground_truth,absolute_limit_uA,actual_abnormal,predicted_168h_uA,prediction_lower_uA,prediction_upper_uA,prediction_error_uA,absolute_prediction_error_uA,predicted_drift_uA,predicted_drift_rate,predicted_relative_drift,actual_drift_uA,actual_drift_rate,safety_slope,drift_slope_excess,early_drift_flag,predicted_limit_exceeded,uncertainty_adjusted_failure,limit_margin_uA,upper_bound_limit_margin_uA,future_drift_risk,module_b_status,module_b_explanation
C11,L1,TypeA,30.79,1.14,14.66,15.66,16.66,60.0,1.47,1.57,1.67,6.0,Absolute_Failure,50,True,34.711372280251595,8.994330134048745,60.428414426454445,-25.288627719748405,25.288627719748405,20.051372280251595,0.11935340643006902,1.3677607285301225,45.34,0.2698809523809524,0.017857142857142856,0.10149626357292615,True,False,True,15.288627719748405,-10.428414426454445,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C12,L1,TypeB,26.71,1.24,11.39,12.39,13.39,14.39,1.14,1.24,1.34,1.44,Normal,50,False,34.45379254812596,8.73675040192311,60.17083469432881,20.06379254812596,20.06379254812596,23.06379254812596,0.13728447945313071,2.0249159392560103,3.0,0.017857142857142856,0.017857142857142856,0.11942733659598787,True,False,True,15.54620745187404,-10.17083469432881,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C13,L1,TypeB,28.66,1.02,12.4,13.4,32.4,34.4,1.24,1.34,3.24,3.44,Sudden_Anomaly,50,True,35.752078571258046,10.035036425055196,61.469120717460896,1.3520785712580476,1.3520785712580476,23.352078571258048,0.1390004676860598,1.883232142843391,22.0,0.13095238095238096,0.017857142857142856,0.12114332482891696,True,False,True,14.247921428741954,-11.469120717460896,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C14,L1,TypeA,34.22,1.07,14.99,15.99,16.99,17.99,1.5,1.6,1.7,1.8,Normal,50,False,32.68928956564848,6.97224741944563,58.40633171185133,14.699289565648481,14.699289565648481,17.699289565648478,0.10535291408124094,1.1807397975749485,2.9999999999999982,0.017857142857142846,0.017857142857142856,0.08749577122409807,True,False,True,17.31071043435152,-8.40633171185133,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C15,L1,TypeB,33.94,1.01,8.9,9.9,28.9,30.9,0.89,0.99,2.89,3.09,Sudden_Anomaly,50,True,32.78285660800492,7.06581446180207,58.49989875420777,1.8828566080049214,1.8828566080049214,23.88285660800492,0.14215986076193404,2.6834670346072946,22.0,0.13095238095238096,0.017857142857142856,0.1243027179047912,True,False,True,17.21714339199508,-8.49989875420777,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C16,L1,TypeC,28.72,1.29,13.67,15.67,18.67,23.67,1.37,1.57,1.87,2.37,Latent_Defect,50,True,23.803817693236983,-1.913224452965867,49.52085983943984,0.13381769323698123,0.13381769323698123,10.133817693236983,0.0603203434121249,0.741318046323115,10.000000000000002,0.059523809523809534,0.017857142857142856,0.042463200554982046,True,False,False,26.196182306763017,0.4791401605601635,MEDIUM,EARLY_DRIFT_RISK,Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C17,L1,TypeC,26.03,1.1,9.64,10.64,29.64,31.64,0.96,1.06,2.96,3.16,Sudden_Anomaly,50,True,30.72867978385117,5.01163763764832,56.44572193005402,-0.9113202161488303,0.9113202161488303,21.08867978385117,0.12552785585625698,2.187622384216926,22.0,0.13095238095238096,0.017857142857142856,0.10767071299911413,True,False,True,19.27132021614883,-6.44572193005402,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C18,L1,TypeC,32.96,1.3,12.07,13.07,14.07,15.07,1.21,1.31,1.41,1.51,Normal,50,False,34.70981165324795,8.992769507045097,60.4268537994508,19.639811653247946,19.639811653247946,22.639811653247946,0.1347607836502854,1.8757093333262589,3.0,0.017857142857142856,0.017857142857142856,0.11690364079314255,True,False,True,15.290188346752053,-10.426853799450797,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C19,L1,TypeB,31.79,1.03,10.77,10.77,10.77,10.77,1.08,1.08,1.08,1.08,High_Stable,50,True,13.381877569152664,-12.335164577050186,39.098919715355514,2.6118775691526643,2.6118775691526643,2.6118775691526643,0.015546890292575383,0.24251416612373858,0.0,0.0,0.017857142857142856,-0.002310252564567473,False,False,False,36.618122430847336,10.901080284644486,WATCH,NORMAL,Predicted 168h behavior remains within the dynamic safety boundary.
C20,L1,TypeA,31.24,1.17,13.16,14.16,33.16,35.16,1.32,1.42,3.32,3.52,Sudden_Anomaly,50,True,38.06249545646473,12.345453310261881,63.77953760266758,2.9024954564647345,2.9024954564647345,24.90249545646473,0.1482291396218139,1.8922868887891133,21.999999999999996,0.13095238095238093,0.017857142857142856,0.13037199676467104,True,False,True,11.937504543535269,-13.779537602667581,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C21,L1,TypeC,30.62,1.02,11.24,13.24,16.24,21.24,1.12,1.32,1.62,2.12,Latent_Defect,50,True,21.336642928575458,-4.380399217627392,47.05368507477831,0.09664292857545931,0.09664292857545931,10.096642928575458,0.06009906505104439,0.8982778406205922,9.999999999999998,0.059523809523809514,0.017857142857142856,0.042241922193901535,True,False,False,28.663357071424542,2.9463149252216922,MEDIUM,EARLY_DRIFT_RISK,Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C22,L1,TypeA,26.69,1.29,14.7,15.7,34.7,36.7,1.47,1.57,3.47,3.67,Sudden_Anomaly,50,True,38.64858182032384,12.931539674120991,64.3656239665267,1.948581820323838,1.948581820323838,23.94858182032384,0.1425510822638324,1.6291552258723703,22.000000000000004,0.130952380952381,0.017857142857142856,0.12469393940668955,True,False,True,11.351418179676159,-14.365623966526698,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C23,L1,TypeC,31.54,1.09,12.09,13.09,14.09,60.0,1.21,1.31,1.41,6.0,Absolute_Failure,50,True,36.706727119567184,10.989684973364334,62.423769265770034,-23.293272880432816,23.293272880432816,24.616727119567184,0.14652813761647132,2.0361230040998497,47.91,0.2851785714285714,0.017857142857142856,0.12867099475932847,True,False,True,13.293272880432816,-12.423769265770034,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C24,L1,TypeC,26.31,1.18,11.46,12.46,31.46,33.46,1.15,1.25,3.15,3.35,Sudden_Anomaly,50,True,36.824518381138,11.107476234935149,62.54156052734085,3.364518381137998,3.364518381137998,25.364518381137998,0.15097927607820236,2.213308759261605,22.0,0.13095238095238096,0.017857142857142856,0.1331221332210595,True,False,True,13.175481618862001,-12.541560527340849,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C25,L1,TypeB,27.24,1.13,11.53,12.53,31.53,33.53,1.15,1.25,3.15,3.35,Sudden_Anomaly,50,True,36.627071996557156,10.910029850354306,62.344114142760006,3.0970719965571547,3.0970719965571547,25.097071996557155,0.1493873333128402,2.1766758019563883,22.0,0.13095238095238096,0.017857142857142856,0.13153019045569736,True,False,True,13.372928003442844,-12.344114142760006,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C26,L1,TypeC,27.92,1.17,11.24,12.24,31.24,33.24,1.12,1.22,3.12,3.32,Sudden_Anomaly,50,True,35.280357743197136,9.563315596994286,60.997399889399986,2.0403577431971343,2.0403577431971343,24.040357743197134,0.14309736751903057,2.1388218632737663,22.0,0.13095238095238096,0.017857142857142856,0.12524022466188772,True,False,True,14.719642256802864,-10.997399889399986,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C27,L1,TypeA,31.17,1.03,9.5,10.5,29.5,31.5,0.95,1.05,2.95,3.15,Sudden_Anomaly,50,True,31.214532860965583,5.497490714762733,56.93157500716843,-0.28546713903441656,0.28546713903441656,21.714532860965583,0.1292531717914618,2.285740301154272,22.0,0.13095238095238096,0.017857142857142856,0.11139602893431896,True,False,True,18.785467139034417,-6.9315750071684334,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C28,L1,TypeA,34.19,1.16,11.68,12.68,31.68,33.68,1.17,1.27,3.17,3.37,Sudden_Anomaly,50,True,37.726889857192035,12.009847710989185,63.443932003394885,4.046889857192035,4.046889857192035,26.046889857192035,0.1550410110547145,2.230041939828085,22.0,0.13095238095238096,0.017857142857142856,0.13718386819757164,True,False,True,12.273110142807965,-13.443932003394885,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C29,L1,TypeA,28.28,1.25,13.3,15.3,18.3,23.3,1.33,1.53,1.83,2.33,Latent_Defect,50,True,23.31890582093674,-2.3981363252661083,49.03594796713959,0.01890582093674098,0.01890582093674098,10.018905820936741,0.059636344172242506,0.7533011895441158,10.0,0.05952380952380952,0.017857142857142856,0.04177920131509965,True,False,False,26.68109417906326,0.9640520328604083,MEDIUM,EARLY_DRIFT_RISK,Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C30,L1,TypeC,31.98,1.24,13.6,14.6,15.6,60.0,1.36,1.46,1.56,6.0,Absolute_Failure,50,True,36.03411990285806,10.317077756655209,61.75116204906091,-23.96588009714194,23.96588009714194,22.434119902858058,0.13353642799320273,1.6495676399160337,46.4,0.2761904761904762,0.017857142857142856,0.11567928513605988,True,False,True,13.965880097141941,-11.751162049060909,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C31,L1,TypeA,31.45,1.04,11.85,12.85,13.85,60.0,1.18,1.28,1.38,6.0,Absolute_Failure,50,True,40.214489366087456,14.497447219884606,65.9315315122903,-19.785510633912544,19.785510633912544,28.364489366087454,0.16883624622671103,2.3936277946065365,48.15,0.28660714285714284,0.017857142857142856,0.15097910336956819,True,False,True,9.785510633912544,-15.931531512290306,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C32,L1,TypeC,30.38,1.04,10.67,10.67,10.67,10.67,1.07,1.07,1.07,1.07,High_Stable,50,True,13.457789728909194,-12.259252417293656,39.17483187511205,2.7877897289091944,2.7877897289091944,2.7877897289091944,0.016593986481602346,0.26127363907302664,0.0,0.0,0.017857142857142856,-0.0012631563755405098,False,False,False,36.54221027109081,10.825168124887952,WATCH,NORMAL,Predicted 168h behavior remains within the dynamic safety boundary.
C33,L1,TypeB,33.41,1.21,11.38,13.38,16.38,21.38,1.14,1.34,1.64,2.14,Latent_Defect,50,True,22.17648432033154,-3.5405578258713106,47.89352646653439,0.7964843203315404,0.7964843203315404,10.796484320331539,0.06426478762102106,0.9487244569711369,9.999999999999998,0.059523809523809514,0.017857142857142856,0.0464076447638782,True,False,False,27.82351567966846,2.1064735334656106,MEDIUM,EARLY_DRIFT_RISK,Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C34,L1,TypeB,26.25,1.1,14.72,15.72,34.72,36.72,1.47,1.57,3.47,3.67,Sudden_Anomaly,50,True,38.279164859663766,12.562122713460916,63.996207005866616,1.5591648596637668,1.5591648596637668,23.559164859663767,0.14023312416466527,1.6004867431836798,22.0,0.13095238095238096,0.017857142857142856,0.12237598130752242,True,False,True,11.720835140336234,-13.996207005866616,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C35,L1,TypeA,32.95,1.02,11.78,12.78,31.78,33.78,1.18,1.28,3.18,3.38,Sudden_Anomaly,50,True,37.167721942608324,11.450679796405474,62.884764088811174,3.387721942608323,3.387721942608323,25.387721942608323,0.15111739251552572,2.155154664058432,22.0,0.13095238095238096,0.017857142857142856,0.13326024965838287,True,False,True,12.832278057391676,-12.884764088811174,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C36,L1,TypeC,26.73,1.26,12.41,13.41,14.41,60.0,1.24,1.34,1.44,6.0,Absolute_Failure,50,True,36.75262500122568,11.035582855022831,62.46966714742853,-23.24737499877432,23.24737499877432,24.34262500122568,0.1448965773882481,1.9615330379714488,47.59,0.28327380952380954,0.017857142857142856,0.12703943453110525,True,False,True,13.247374998774319,-12.469667147428531,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C37,L1,TypeC,33.41,1.07,9.23,9.23,9.23,9.23,0.92,0.92,0.92,0.92,High_Stable,50,True,12.475908864404023,-13.241133281798827,38.192951010606876,3.245908864404022,3.245908864404022,3.245908864404022,0.01932088609764299,0.351669432763166,0.0,0.0,0.017857142857142856,0.0014637432405001337,True,False,False,37.52409113559598,11.807048989393124,MEDIUM,EARLY_DRIFT_RISK,Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C38,L1,TypeA,30.51,1.12,12.2,13.2,14.2,60.0,1.22,1.32,1.42,6.0,Absolute_Failure,50,True,37.1206074175285,11.403565271325647,62.83764956373135,-22.879392582471503,22.879392582471503,24.920607417528498,0.1483369489138601,2.0426727391416803,47.8,0.2845238095238095,0.017857142857142856,0.13047980605671725,True,False,True,12.879392582471503,-12.837649563731347,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C39,L1,TypeB,32.14,1.11,8.29,9.29,10.29,11.29,0.83,0.93,1.03,1.13,Normal,50,False,35.618799916776545,9.901757770573695,61.335842062979395,24.328799916776546,24.328799916776546,27.328799916776546,0.16267142807605087,3.2965983011793183,3.0,0.017857142857142856,0.017857142857142856,0.14481428521890802,True,False,True,14.381200083223455,-11.335842062979395,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C40,L1,TypeB,27.89,1.21,14.5,15.5,16.5,17.5,1.45,1.55,1.65,1.75,Normal,50,False,38.42389731967598,12.70685517347313,64.14093946587883,20.92389731967598,20.92389731967598,23.92389731967598,0.142404150712357,1.649923953081102,3.0,0.017857142857142856,0.017857142857142856,0.12454700785521416,True,False,True,11.57610268032402,-14.14093946587883,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C41,L1,TypeC,29.69,1.06,11.99,12.99,13.99,14.99,1.2,1.3,1.4,1.5,Normal,50,False,34.10974320017367,8.392701053970818,59.82678534637652,19.119743200173666,19.119743200173666,22.119743200173666,0.1316651380962718,1.8448493077709478,3.0,0.017857142857142856,0.017857142857142856,0.11380799523912896,True,False,True,15.890256799826332,-9.826785346376518,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C42,L1,TypeC,25.45,1.05,8.68,9.68,10.68,11.68,0.87,0.97,1.07,1.17,Normal,50,False,32.65666526809747,6.93962312189462,58.37370741430032,20.97666526809747,20.97666526809747,23.97666526809747,0.14271824564343732,2.7622886253568515,3.0,0.017857142857142856,0.017857142857142856,0.12486110278629448,True,False,True,17.34333473190253,-8.37370741430032,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C43,L1,TypeC,31.34,1.16,10.05,11.05,12.05,60.0,1.0,1.1,1.2,6.0,Absolute_Failure,50,True,31.07199263219583,5.35495048599298,56.78903477839868,-28.92800736780417,28.92800736780417,21.02199263219583,0.12513090852497516,2.0917405604174952,49.95,0.29732142857142857,0.017857142857142856,0.10727376566783231,True,False,True,18.92800736780417,-6.78903477839868,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C44,L1,TypeA,34.28,1.24,14.2,15.2,34.2,36.2,1.42,1.52,3.42,3.62,Sudden_Anomaly,50,True,41.3735227065304,15.656480560327552,67.09056485273325,5.173522706530399,5.173522706530399,27.173522706530402,0.16174715896744288,1.9136283596148171,22.000000000000004,0.130952380952381,0.017857142857142856,0.14389001611030003,True,False,True,8.626477293469598,-17.09056485273325,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C45,L1,TypeB,27.06,1.03,13.22,14.22,15.22,16.22,1.32,1.42,1.52,1.62,Normal,50,False,36.76667654340998,11.049634397207129,62.48371868961283,20.54667654340998,20.54667654340998,23.54667654340998,0.14015878894886893,1.781140434448561,2.9999999999999982,0.017857142857142846,0.017857142857142856,0.12230164609172609,True,False,True,13.233323456590021,-12.483718689612829,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C46,L1,TypeA,34.9,1.17,8.45,9.45,28.45,30.45,0.84,0.94,2.84,3.04,Sudden_Anomaly,50,True,35.885372113016984,10.168329966814134,61.602414259219834,5.435372113016985,5.435372113016985,27.435372113016985,0.16330578638700585,3.246789599173608,22.0,0.13095238095238096,0.017857142857142856,0.145448643529863,True,False,True,14.114627886983016,-11.602414259219834,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C47,L1,TypeB,29.75,1.15,10.98,11.98,12.98,13.98,1.1,1.2,1.3,1.4,Normal,50,False,35.25618456571436,9.539142419511514,60.97322671191721,21.276184565714363,21.276184565714363,24.276184565714363,0.14450109860544263,2.210945771012237,3.0,0.017857142857142856,0.017857142857142856,0.12664395574829979,True,False,True,14.743815434285636,-10.973226711917214,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C48,L1,TypeC,26.04,1.12,9.93,10.93,11.93,60.0,0.99,1.09,1.19,6.0,Absolute_Failure,50,True,30.93527059098001,5.218228444777161,56.65231273718286,-29.06472940901999,29.06472940901999,21.00527059098001,0.1250313725653572,2.1153343998972822,50.07,0.2980357142857143,0.017857142857142856,0.10717422970821436,True,False,True,19.06472940901999,-6.652312737182861,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C49,L1,TypeC,31.51,1.3,14.81,15.81,34.81,36.81,1.48,1.58,3.48,3.68,Sudden_Anomaly,50,True,39.19718457029865,13.480142424095803,64.9142267165015,2.3871845702986505,2.3871845702986505,24.38718457029865,0.14516181291844435,1.6466701262862018,22.0,0.13095238095238096,0.017857142857142856,0.1273046700613015,True,False,True,10.802815429701347,-14.914226716501503,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C50,L1,TypeB,34.07,1.18,13.84,14.84,15.84,16.84,1.38,1.48,1.58,1.68,Normal,50,False,35.77633446209554,10.05929231589269,61.49337660829839,18.93633446209554,18.93633446209554,21.93633446209554,0.13057341941723535,1.584995264602279,3.0,0.017857142857142856,0.017857142857142856,0.1127162765600925,True,False,True,14.22366553790446,-11.49337660829839,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C51,L1,TypeA,28.09,1.3,8.18,9.18,10.18,60.0,0.82,0.92,1.02,6.0,Absolute_Failure,50,True,37.6887023187775,11.971660172574651,63.40574446498035,-22.3112976812225,22.3112976812225,29.5087023187775,0.17564703761177083,3.6074208213664427,51.82,0.308452380952381,0.017857142857142856,0.15778989475462799,True,False,True,12.311297681222499,-13.405744464980351,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
